modelling_index,brand,year,model,title,used_or_new,transmission,engine_size_litres,drive_type,fuel_type,fuel_consumption_per_100km,kilometres,cylinders,body_type,doors,seats,price,colour_ext,colour_int,region,state,vehicle_age,km_per_year 
801,Mazda,2022,CX-5,2022 Mazda CX-5 GT SP Turbo (awd),USED,Automatic,2.5,AWD,Unleaded,8.2,7492,4,SUV,4,5,55667,Grey,,Liverpool,NSW,1,7492.0
802,Mazda,2005,SP23,2005 Mazda SP23 BK Series 1 SP23 Hatchback 5dr Man 5sp 2.3i,USED,Manual,,Front,Unleaded,,225136,,Hatchback,,,5995,Black,,Seven Hills,NSW,18,12507.555555555555
803,Audi,2016,Q7,2016 Audi Q7 3.0 TDI Quattro (160KW),USED,Automatic,3.0,AWD,Diesel,5.8,90801,6,SUV,4,7,44800,White,,Rozelle,NSW,7,12971.57142857143
804,Nissan,2013,Caravan,2013 Nissan Caravan,USED,,,Other,,,146598,,,,,25888,White,Black,Braeside,VIC,10,14659.8
805,Mitsubishi,2011,ASX,2011 Mitsubishi ASX (4WD),USED,Manual,1.8,4WD,Diesel,5.9,87092,4,SUV,4,5,16800,Silver,,Minchinbury,NSW,12,7257.666666666667
806,BMW,2021,X3,2021 BMW X3 Xdrive30I M Sport,USED,Automatic,2.0,AWD,Unleaded,7.6,20816,4,SUV,4,5,79800,White,,Rozelle,NSW,2,10408.0
807,Volkswagen,2015,Multivan,2015 Volkswagen Multivan Comfortline TDI340,USED,Automatic,2.0,Front,Diesel,8.2,37448,4,Wagon,4,7,42990,Blue,,Alexandria,NSW,8,4681.0
808,Nissan,2010,Elgrand,2010 Nissan Elgrand Highway Star Premium,USED,Automatic,,Other,,,102324,,Wagon,,,21999,White,Grey,Blacktown,NSW,13,7871.076923076923
809,Volvo,2019,XC60,2019 Volvo XC60 D5 R-Design (awd),USED,Automatic,2.0,AWD,Diesel,5.6,18786,4,SUV,4,5,64990,White,Black,Ryde,NSW,4,4696.5
810,BMW,2013,Z4,2013 BMW Z4 Sdrive 20I,USED,Automatic,2.0,Rear,Premium,6.8,79263,4,Convertible,2,2,32800,Black,,Rozelle,NSW,10,7926.3
811,Fiat,2019,500,2019 Fiat 500 Lounge,USED,Automatic,1.2,Front,Premium,4.8,16222,4,Hatchback,3,4,20800,Red,Black,Artarmon,NSW,4,4055.5
812,Volkswagen,2007,Golf,2007 Volkswagen Golf GTI,USED,Manual,2.0,Front,Premium,8.1,147681,4,Hatchback,5,5,12990,White,,Minchinbury,NSW,16,9230.0625
813,Toyota,2018,RAV4,2018 Toyota RAV4 GX (2WD),USED,Automatic,2.0,Front,Unleaded,7.0,134158,4,SUV,4,5,24950,White,,Pendle Hill,NSW,5,26831.6
814,Toyota,2011,Hilux,2011 Toyota Hilux Workmate,USED,Manual,2.7,Rear,Unleaded,11.2,197212,4,Ute / Tray,2,3,14990,Blue,Black,Slacks Creek,QLD,12,16434.333333333332
815,Volkswagen,2013,Polo,2013 Volkswagen Polo 77 TSI Comfortline,USED,Manual,1.2,Front,Premium,5.5,155446,4,Hatchback,5,5,10995,White,Grey,Minchinbury,NSW,10,15544.6
816,Ford,2014,Mondeo,2014 Ford Mondeo LX,USED,Automatic,2.3,Front,Unleaded,9.5,206993,4,Hatchback,5,5,6880,Black,Black Cloth,Blacktown,NSW,9,22999.222222222223
817,Nissan,2010,X-Trail,2010 Nissan X-Trail TS (4X4),USED,Automatic,2.0,4WD,Diesel,8.1,214466,4,SUV,4,5,12990,White,Black,Granville,NSW,13,16497.384615384617
818,Toyota,2012,HiAce,2012 Toyota HiAce LWB,USED,Automatic,3.0,Rear,Diesel,8.0,213169,4,Commercial,4,3,26900,White,Black,Ingleburn,NSW,11,19379.0
819,LDV,2022,T60,2022 LDV T60 Mega TUB (4X4),USED,Automatic,2.0,4WD,Diesel,9.3,1256,4,Ute / Tray,4,5,44288,White,,Mcgraths Hill,NSW,1,1256.0
820,Mazda,2006,3,2006 Mazda 3 MPS,USED,Manual,2.3,Front,Premium,10.0,220156,4,Hatchback,5,5,14880,Red,Black,Chipping Norton,NSW,17,12950.35294117647
821,LDV,2021,T60,2021 LDV T60 PRO (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,23773,4,Ute / Tray,4,5,28980,White,Black,Richmond,NSW,2,11886.5
822,BMW,2019,M2,2019 BMW M2 Competition,USED,Automatic,3.0,Rear,Premium,9.1,62773,6,Coupe,2,4,81888,Silver,Black,Liverpool,NSW,4,15693.25
823,Toyota,1999,Landcruiser,1999 Toyota Landcruiser GXL (4X4),USED,Automatic,4.2,4WD,Diesel,0.0,394167,6,SUV,4,8,22999,White,,Coopers Plains,QLD,24,16423.625
824,Ford,2012,Ranger,2012 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,2.2,Rear,Diesel,8.9,283047,4,Ute / Tray,4,4,24995,Grey,Black,Minchinbury,NSW,11,25731.545454545456
825,Audi,2017,A7,2017 Audi A7 S/Back 3.0 TDI Biturbo Quattro,USED,Automatic,3.0,AWD,Diesel,5.5,61612,6,Hatchback,5,5,54880,Black,Black,Zetland,NSW,6,10268.666666666666
826,Toyota,2016,HiAce,2016 Toyota HiAce (No Badge),USED,Automatic,,Rear,Unleaded,,172272,,Commercial,,,30900,Silver,Black,Ingleburn,NSW,7,24610.285714285714
827,Toyota,2007,Tarago,2007 Toyota Tarago Ultima V6,USED,Automatic,3.5,Front,Premium,10.3,209970,6,Wagon,4,7,15990,White,Cream Leather,Croydon,NSW,16,13123.125
828,Holden,2015,Colorado,2015 Holden Colorado Z71 (4X4),USED,Automatic,2.8,4WD,Diesel,9.1,104003,4,Ute / Tray,4,5,35888,White,Grey,Carlton,NSW,8,13000.375
829,Land,2012,Rover,2012 Land Rover Range Rover Evoque SI4 Pure,USED,Automatic,2.0,AWD,Premium,8.7,107036,4,SUV,5,5,30990,White,,Minchinbury,NSW,11,9730.545454545454
830,Audi,2015,A1,2015 Audi A1 8X Sportback 5dr S tronic 7sp 1.0T MY15,USED,Automatic,,Other,Unleaded,,112200,,Hatchback,,,17999,Silver,,Rouse Hill,NSW,8,14025.0
831,Ford,2012,Transit,2012 Ford Transit,USED,Manual,2.4,Rear,Diesel,9.5,226455,4,Commercial,4,6,19995,White,,Minchinbury,NSW,11,20586.81818181818
832,Mercedes-Benz,2019,GLC300,2019 Mercedes-Benz GLC300 4Matic,USED,Automatic,2.0,AWD,Premium,8.1,71997,4,SUV,4,5,64990,Black,Black,Artarmon,NSW,4,17999.25
833,Toyota,2003,Landcruiser,2003 Toyota Landcruiser Prado Grande (4X4),USED,Automatic,4.0,4WD,Unleaded,13.8,336271,6,SUV,4,8,13990,,,Underwood,QLD,20,16813.55
834,Holden,2011,Captiva,2011 Holden Captiva LX (4X4),USED,Automatic,3.2,4WD,Unleaded,11.5,148451,6,SUV,4,7,9800,White,,Minchinbury,NSW,12,12370.916666666666
836,Volvo,2018,XC60,2018 Volvo XC60 T5 Momentum,USED,Automatic,2.0,AWD,Premium,7.8,73048,4,SUV,4,5,43990,Black,Black Leather,Brookvale,NSW,5,14609.6
837,Toyota,2022,Landcruiser,2022 Toyota Landcruiser Prado Kakadu,USED,Automatic,2.8,4WD,Diesel,7.9,11647,4,SUV,4,7,116837,Black,Black,Waitara,NSW,1,11647.0
838,Mercedes-Benz,2011,ML350,2011 Mercedes-Benz ML350 (4X4),USED,Automatic,3.5,4WD,Premium,11.5,92715,6,SUV,4,5,22945,Black,Beige,Haberfield,NSW,12,7726.25
839,Toyota,2017,RAV4,2017 Toyota RAV4 Cruiser (4X4),USED,Automatic,2.5,AWD,Unleaded,8.5,118937,4,SUV,4,5,29999,Silver,,Mcgraths Hill,NSW,6,19822.833333333332
840,Mitsubishi,2021,ASX,2021 Mitsubishi ASX ES (2WD),USED,Automatic,2.0,Front,Unleaded,7.6,48932,4,SUV,4,5,27990,White,,Liverpool,NSW,2,24466.0
841,Mazda,2014,3,2014 Mazda 3 NEO,USED,Manual,2.0,Front,Unleaded,5.8,148421,4,Sedan,4,5,14880,Silver,Black,Minchinbury,NSW,9,16491.222222222223
842,Nissan,2014,Juke,2014 Nissan Juke ST (fwd),USED,Automatic,1.6,Front,Premium,6.3,116603,4,SUV,4,5,19880,Red,Black Cloth,Pennant Hills,NSW,9,12955.888888888889
843,Holden,2006,Rodeo,2006 Holden Rodeo LX (4X4),USED,Manual,3.6,4WD,Unleaded,13.0,283736,6,Ute / Tray,4,5,10950,White,,Minto,NSW,17,16690.352941176472
844,Holden,2011,Colorado,2011 Holden Colorado RC LT-R Utility Crew Cab 4dr Auto 4sp 4x4 3.0DT,USED,Automatic,,Other,Diesel,,254784,,Ute / Tray,,,17800,White,,Minchinbury,NSW,12,21232.0
845,Mitsubishi,2015,Outlander,2015 Mitsubishi Outlander LS (4X2),USED,Automatic,2.0,Front,Unleaded,6.6,94701,4,SUV,4,5,22776,Red,,Liverpool,NSW,8,11837.625
846,Toyota,2005,HiAce,2005 Toyota HiAce LWB,USED,Automatic,2.7,Rear,Unleaded,11.6,415181,4,Commercial,4,3,10995,White,,Minchinbury,NSW,18,23065.61111111111
847,Toyota,2005,Echo,2005 Toyota Echo Rush,USED,Automatic,1.3,Front,Unleaded,6.7,220905,4,Hatchback,5,5,6990,Silver,,Minchinbury,NSW,18,12272.5
848,Hyundai,2018,Kona,2018 Hyundai Kona Elite (awd),USED,Automatic,1.6,AWD,Unleaded,6.7,76436,4,SUV,4,5,28990,Yellow,Black,Arncliffe,NSW,5,15287.2
849,Hyundai,2013,Imax,2013 Hyundai Imax,USED,Automatic,2.5,Rear,Diesel,9.0,137282,4,Wagon,4,8,22990,Silver,Black,Minchinbury,NSW,10,13728.2
851,Land,2005,Rover,2005 Land Rover Discovery HSE,USED,Automatic,,Other,Unleaded,,284510,,Wagon,,,13995,Black,,Minchinbury,NSW,18,15806.111111111111
852,Holden,2016,Colorado,2016 Holden Colorado LS (4X4),USED,Automatic,2.8,4WD,Diesel,9.0,98030,4,Ute / Tray,4,5,29999,White,,Banyo,QLD,7,14004.285714285714
853,Volkswagen,2013,Tiguan,2013 Volkswagen Tiguan 155 TSI (4X4),USED,Automatic,2.0,AWD,Premium,8.8,93662,4,SUV,4,5,16999,Black,Black Leather,Elderslie,NSW,10,9366.2
854,Lexus,2020,UX200,2020 Lexus UX200 Luxury +EP1,USED,Automatic,2.0,Front,Unleaded,5.8,20747,4,SUV,4,5,49900,Black,Black,Waterloo,NSW,3,6915.666666666667
855,Subaru,2014,Liberty,2014 Subaru Liberty 2.5I Premium,USED,Automatic,2.5,AWD,Premium,8.2,274000,4,Wagon,4,5,10999,White,,Granville,NSW,9,30444.444444444445
856,BMW,2015,X6,2015 BMW X6 Xdrive 30D,USED,Automatic,3.0,AWD,Diesel,6.0,75416,6,SUV,4,5,53888,Black,,Glebe,NSW,8,9427.0
857,Ford,2013,Ranger,2013 Ford Ranger XL 3.2 (4X4),USED,Automatic,3.2,4WD,Diesel,9.2,282575,5,Ute / Tray,4,5,19990,White,,Thornleigh,NSW,10,28257.5
858,Ram,2018,1500,2018 Ram 1500 Express (4X4),USED,Automatic,5.7,4WD,Unleaded,12.2,91411,8,Commercial,4,5,88800,Blue,,Kirrawee,NSW,5,18282.2
859,Toyota,2023,Landcruiser,2023 Toyota Landcruiser Prado Kakadu,USED,Automatic,2.8,4WD,Diesel,7.9,1000,4,SUV,4,7,109990,Black,Black,Jamisontown,NSW,0,1000.0
860,Kia,2018,Picanto,2018 Kia Picanto GT-Line,USED,Automatic,1.2,Front,Unleaded,5.8,77871,4,Hatchback,5,5,19880,Black,Black Leather,Minchinbury,NSW,5,15574.2
861,Toyota,2009,HiAce,2009 Toyota HiAce (No Badge),USED,Automatic,,Rear,Unleaded,,185043,,Commercial,,,25900,Silver,Black,Ingleburn,NSW,14,13217.357142857143
862,Ford,2012,Focus,2012 Ford Focus Ambiente,USED,Automatic,1.6,Front,Unleaded,6.6,90730,4,Hatchback,5,5,12995,Blue,Black,Minchinbury,NSW,11,8248.181818181818
863,Mazda,2013,2,2013 Mazda 2 Maxx,USED,Automatic,1.5,Front,Unleaded,6.8,51735,4,Hatchback,5,5,14990,Blue,Grey,Lidcombe,NSW,10,5173.5
864,Mercedes-Benz,2020,S-Class,2020 Mercedes-Benz S-Class Hybrid,USED,Automatic,,Other,Other,,81948,,,,,99888,Grey,Black,Braeside,VIC,3,27316.0
865,Nissan,2009,Skyline,2009 Nissan Skyline 370GT Type SP,USED,Automatic,,Rear,Premium,,129025,,,,,17900,Silver,Black,Ingleburn,NSW,14,9216.07142857143
866,Toyota,2016,RAV4,2016 Toyota RAV4 GX (2WD),USED,Automatic,2.0,Front,Unleaded,7.4,137479,4,SUV,4,5,25990,White,,South Hurstville,NSW,7,19639.85714285714
867,Mazda,2015,3,2015 Mazda 3 SP25 GT,USED,Automatic,2.5,Front,Unleaded,6.1,53815,4,Hatchback,5,5,22880,Brown,Black,Chatswood,NSW,8,6726.875
868,Volkswagen,2017,Transporter,2017 Volkswagen Transporter TDI 400 SWB LOW,USED,Automatic,2.0,Front,Diesel,8.1,273970,4,Commercial,2,2,23500,White,,Smithfield,NSW,6,45661.666666666664
869,Toyota,2006,Hilux,2006 Toyota Hilux SR5,USED,Automatic,4.0,Rear,Unleaded,12.1,334566,6,Ute / Tray,4,5,19990,White,,Thornleigh,NSW,17,19680.352941176472
870,Hyundai,2018,Santa,2018 Hyundai Santa FE Active X,USED,Automatic,3.3,Front,Unleaded,10.5,103102,6,SUV,4,7,27999,Black,Black,Sutherland,NSW,5,20620.4
871,Land,2016,Rover,2016 Land Rover Range Rover Sport 3.0 TDV6 SE,USED,Automatic,3.0,AWD,Diesel,7.3,90865,6,SUV,4,5,59800,White,,Rozelle,NSW,7,12980.714285714286
872,Hyundai,2020,I30,2020 Hyundai I30 GO,USED,Automatic,2.0,Front,Unleaded,7.4,40488,4,Hatchback,4,5,24000,White,Grey,Castle Hill,NSW,3,13496.0
873,Toyota,2019,Camry,2019 Toyota Camry Ascent (hybrid),USED,Automatic,2.5,Front,Hybrid,4.2,99437,4,Sedan,4,5,34900,White,Black,Liverpool,NSW,4,24859.25
874,Holden,2014,Captiva,2014 Holden Captiva 7 LTZ (4X4),USED,Automatic,2.2,AWD,Diesel,8.1,172770,4,SUV,4,7,11999,Grey,Black,Blacktown,NSW,9,19196.666666666668
875,Hyundai,2021,Venue,2021 Hyundai Venue Active,USED,Automatic,1.6,Front,Unleaded,7.2,78735,4,SUV,4,5,22990,Grey,Black,Bentleigh,VIC,2,39367.5
876,Mercedes-Benz,2011,C-CLASS,2011 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC + 7sp 1.8,USED,Automatic,,Rear,Unleaded,,108788,,,,,17990,Silver,,Seven Hills,NSW,12,9065.666666666666
877,Mazda,2020,CX-5,2020 Mazda CX-5 GT (4X4),USED,Automatic,2.5,AWD,Unleaded,7.5,46220,4,SUV,4,5,40898,Grey,,Liverpool,NSW,3,15406.666666666666
878,Toyota,2016,C-HR,2016 Toyota C-HR G,USED,Automatic,,Other,Unleaded,,96011,,,,,28888,White,,Blacktown,NSW,7,13715.857142857143
879,Ford,2011,Fiesta,2011 Ford Fiesta Zetec,USED,Manual,1.6,Front,Unleaded,6.1,144914,4,Hatchback,5,5,8995,Silver,,Minchinbury,NSW,12,12076.166666666666
880,Hyundai,2020,I30,2020 Hyundai I30 Active,USED,Automatic,2.0,Front,Unleaded,7.4,55914,4,Hatchback,4,5,23980,White,Black,Richmond,NSW,3,18638.0
881,Hyundai,2018,I30,2018 Hyundai I30 Active,USED,Automatic,2.0,Front,Unleaded,7.4,34001,4,Hatchback,4,5,23990,Blue,Black,Revesby,NSW,5,6800.2
882,Ram,2019,1500,2019 Ram 1500 Laramie Crew Cab SWB,USED,Automatic,,Other,Diesel,,35742,,Ute / Tray,,,86990,White,Leather,Granville,NSW,4,8935.5
883,Subaru,2009,Impreza,2009 Subaru Impreza G3 MY09 RX Hatchback 5dr SA 4sp 4WD 2.0i,USED,Automatic,,Other,,,192272,,Hatchback,,,10950,Black,,Bass Hill,NSW,14,13733.714285714286
884,Mercedes-Benz,2018,S-Class,2018 Mercedes-Benz S-Class Hybrid,USED,Automatic,,Other,Other,,35802,,,,,91888,White,Leather/Nappa/Semi-Aniline - Black/Anthracite,Braeside,VIC,5,7160.4
885,Nissan,2014,Navara,2014 Nissan Navara D40 Series 7 Titanium Utility Dual Cab 4dr Man 6sp 4x4 2.5DT,USED,Manual,,Other,,,108285,,Ute / Tray,,,26888,White,,Blacktown,NSW,9,12031.666666666666
886,Nissan,2003,Patrol,2003 Nissan Patrol ST (4X4),USED,Manual,3.0,4WD,Diesel,0.0,332861,4,SUV,4,7,16880,Gold,Grey,Minchinbury,NSW,20,16643.05
887,Mercedes-Benz,2018,C300,2018 Mercedes-Benz C300,USED,Automatic,2.0,Rear,Premium,6.7,66409,4,Wagon,4,4,49800,White,,Rozelle,NSW,5,13281.8
888,Mercedes-Benz,2017,A250,2017 Mercedes-Benz A250 Whiteart Edition,USED,Automatic,2.0,AWD,Premium,6.7,91084,4,Hatchback,5,5,36800,Black,,Rozelle,NSW,6,15180.666666666666
890,Holden,2012,Cruze,2012 Holden Cruze CDX,USED,Automatic,1.8,Front,Unleaded,7.4,120732,4,Sedan,4,5,9950,White,,Campbelltown,NSW,11,10975.636363636364
891,Audi,2010,Q5,2010 Audi Q5 8R TDi Wagon 5dr S-Tronic 7sp Quattro 3.0DT,USED,Automatic,,AWD,Diesel,,237951,,Wagon,,,13990,Grey,,Granville,NSW,13,18303.923076923078
892,Audi,2003,A4,2003 Audi A4 2.4,USED,Automatic,2.4,Front,Premium,10.0,115910,6,Sedan,4,5,5888,Gold,Beige Leather,Elderslie,NSW,20,5795.5
893,Suzuki,2017,Vitara,2017 Suzuki Vitara S Turbo (fwd),USED,Automatic,1.4,Front,Unleaded,5.9,16409,4,SUV,4,5,28888,Blue,,Smithfield,NSW,6,2734.8333333333335
894,Hyundai,2014,I30,2014 Hyundai I30 Elite 1.6 Crdi,USED,Manual,1.6,Front,Diesel,4.5,114236,4,Hatchback,5,5,14990,Grey,Grey,Croydon,NSW,9,12692.888888888889
895,Nissan,2008,Elgrand,2008 Nissan Elgrand Rider,USED,Automatic,,Rear,Unleaded,,50074,,Commercial,,,24900,White,Black,Ingleburn,NSW,15,3338.266666666667
896,Tesla,2017,Model,2017 Tesla Model X 90D,USED,Automatic,0.0,4WD,Electric,0.0,126860,0,SUV,4,5,79800,Blue,,Rozelle,NSW,6,21143.333333333332
897,Toyota,2016,HiAce,2016 Toyota HiAce DX,USED,Automatic,,Other,Unleaded,,213752,,Commercial,,,34888,Silver,Black,Braeside,VIC,7,30536.0
898,Audi,2021,A1,2021 Audi A1 30 Tfsi S Tronic,USED,Automatic,1.0,Front,Premium,5.4,20000,3,Hatchback,5,5,32480,Green,,Ryde,NSW,2,10000.0
899,Ford,2013,Focus,2013 Ford Focus ST,USED,Manual,2.0,Front,Premium,7.4,105378,4,Hatchback,5,5,22990,Orange,,Minchinbury,NSW,10,10537.8
900,Mercedes-Benz,2017,GLE63,2017 Mercedes-Benz GLE63 S 4Matic,USED,Automatic,5.5,AWD,Premium,11.8,59982,8,SUV,4,5,109999,Black,,Croydon,NSW,6,9997.0
901,Holden,2016,Cruze,2016 Holden Cruze Equipe,USED,Automatic,1.8,Front,Unleaded,7.4,92565,4,Sedan,4,5,13990,Red,Black,Liverpool,NSW,7,13223.57142857143
902,Mitsubishi,2015,ASX,2015 Mitsubishi ASX XLS (2WD),USED,Automatic,2.0,Front,Unleaded,7.4,64280,4,SUV,4,5,20990,Black,Black,Kirrawee,NSW,8,8035.0
903,Mitsubishi,2019,ASX,2019 Mitsubishi ASX ES (2WD),USED,Automatic,2.0,Front,Unleaded,7.6,21955,4,SUV,4,5,24990,White,,Alexandria,NSW,4,5488.75
904,Holden,2011,Commodore,2011 Holden Commodore Omega,USED,Automatic,3.0,Rear,Unleaded,8.9,141895,6,Wagon,4,5,11990,White,Black,Minchinbury,NSW,12,11824.583333333334
905,Toyota,2019,Camry,2019 Toyota Camry Ascent (hybrid),USED,Automatic,2.5,Front,Hybrid,4.2,29027,4,Sedan,4,5,37990,Silver,,Belmore,NSW,4,7256.75
906,Suzuki,2017,Vitara,2017 Suzuki Vitara S Turbo (fwd),USED,Automatic,1.4,Front,Unleaded,5.9,58183,4,SUV,4,5,28990,White,,Warwick Farm,NSW,6,9697.166666666666
907,Volkswagen,2019,Transporter,2019 Volkswagen Transporter TDI 340 Crewvan SWB LOW,USED,Automatic,2.0,Front,Diesel,8.1,97650,4,Commercial,2,5,39280,White,Grey,Blacktown,NSW,4,24412.5
908,Holden,2017,Astra,2017 Holden Astra RS-V,USED,Manual,1.6,Front,Premium,6.5,102581,4,Hatchback,5,5,16999,Blue,Black Leather,Elderslie,NSW,6,17096.833333333332
909,Nissan,2012,Navara,2012 Nissan Navara ST-R (4X4),USED,Manual,2.5,4WD,Diesel,9.2,278697,4,Ute / Tray,4,5,16999,White,,Coopers Plains,QLD,11,25336.090909090908
910,Hyundai,2012,IX35,2012 Hyundai IX35 Active (fwd),USED,Manual,2.0,Front,Unleaded,8.5,199409,4,SUV,4,5,10995,Silver,Grey,Minchinbury,NSW,11,18128.090909090908
911,Mitsubishi,2015,ASX,2015 Mitsubishi ASX LS (2WD),USED,Manual,2.0,Front,Unleaded,7.6,65398,4,SUV,4,5,19990,White,Grey,Smeaton Grange,NSW,8,8174.75
912,Mercedes-Benz,2018,C43,2018 Mercedes-Benz C43,USED,Automatic,3.0,AWD,Premium,8.2,49254,6,Coupe,2,4,85880,White,Black Amg Leather,Warwick Farm,NSW,5,9850.8
913,Hyundai,2015,Veloster,2015 Hyundai Veloster +,USED,Automatic,1.6,Front,Unleaded,6.4,39500,4,Hatchback,3,4,20990,White,Black,Arncliffe,NSW,8,4937.5
914,Hyundai,2018,Sonata,2018 Hyundai Sonata Active,USED,Automatic,2.4,Front,Unleaded,8.3,85437,4,Sedan,4,5,21990,White,,Seven Hills,NSW,5,17087.4
915,LDV,2019,T60,2019 LDV T60 Luxe (4X4),USED,Automatic,2.8,4WD,Diesel,9.6,73203,4,Ute / Tray,4,5,27990,White,,Cabramatta,NSW,4,18300.75
916,Mercedes-Benz,2018,A250,2018 Mercedes-Benz A250 4Matic AMG Line,USED,Automatic,2.0,AWD,Unleaded,6.6,75640,4,Hatchback,5,5,39990,Red,Leather,Liverpool,NSW,5,15128.0
917,Volkswagen,2010,Golf,2010 Volkswagen Golf 118 TSI Comfortline,USED,Automatic,1.4,Front,Premium,6.5,73262,4,Hatchback,5,5,10999,White,,Five Dock,NSW,13,5635.538461538462
918,Volkswagen,2021,Tiguan,2021 Volkswagen Tiguan 162TSI R-Line,USED,Automatic,2.0,AWD,Premium,8.5,16239,4,SUV,4,5,66888,Black,Black,Penrith,NSW,2,8119.5
919,Mazda,2013,Axela,2013 Mazda Axela,USED,Automatic,,Other,Premium,,104000,,,,,19888,Red,,Braeside,VIC,10,10400.0
920,Mitsubishi,2017,Lancer,2017 Mitsubishi Lancer ES Sport,USED,Automatic,2.0,Front,Unleaded,7.4,133331,4,Sedan,4,5,17995,Blue,,Minchinbury,NSW,6,22221.833333333332
921,Hyundai,2017,Tucson,2017 Hyundai Tucson Active X (fwd),USED,Automatic,2.0,Front,Unleaded,7.9,82863,4,SUV,4,5,23990,Silver,,Seven Hills,NSW,6,13810.5
922,Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,1.7,Front,Premium,7.0,52269,4,Hatchback,5,5,22880,Red,Black,Chatswood,NSW,8,6533.625
923,Mercedes-Benz,2012,B180,2012 Mercedes-Benz B180,USED,Automatic,1.7,Front,Premium,7.6,194010,4,Hatchback,5,5,9999,Red,Grey,Leichhardt,NSW,11,17637.272727272728
924,Mercedes-Benz,2020,C43,2020 Mercedes-Benz C43,USED,Automatic,3.0,AWD,Premium,9.6,17000,6,Wagon,4,5,99900,Grey,,Sydney,NSW,3,5666.666666666667
925,BMW,2017,320D,2017 BMW 320D Luxury Line,USED,Automatic,2.0,Rear,Diesel,4.4,95522,4,Sedan,4,5,29800,Silver,Black,Burwood,NSW,6,15920.333333333334
926,Holden,2009,Statesman,2009 Holden Statesman V6,USED,Automatic,3.6,Rear,Unleaded,12.2,228422,6,Sedan,4,5,13990,White,Grey,Archerfield,QLD,14,16315.857142857143
927,Mercedes-Benz,2019,C200,2019 Mercedes-Benz C200,USED,Automatic,2.0,Rear,Unleaded,7.0,19187,4,Coupe,2,4,61990,White,Black,Artarmon,NSW,4,4796.75
928,Nissan,2014,Altima,2014 Nissan Altima ST,USED,Automatic,2.5,Front,Unleaded,7.5,181450,4,Sedan,4,5,14880,Blue,Grey,Minchinbury,NSW,9,20161.11111111111
929,Toyota,2007,Hilux,2007 Toyota Hilux SR (4X4),USED,Manual,3.0,4WD,Diesel,8.5,302602,4,Ute / Tray,4,5,18999,Silver,,Coopers Plains,QLD,16,18912.625
930,Hyundai,2017,I30,2017 Hyundai I30 Active,USED,Automatic,1.6,Front,Diesel,4.7,43542,4,Hatchback,4,5,21000,White,,Seven Hills,NSW,6,7257.0
931,Volvo,2015,XC60,2015 Volvo XC60 D5 R-Design,USED,Automatic,2.4,AWD,Diesel,6.9,93593,5,SUV,4,5,28800,Black,,Rozelle,NSW,8,11699.125
932,BMW,2016,X4,2016 BMW X4 Xdrive 35D,USED,Automatic,3.0,AWD,Diesel,6.0,79610,6,SUV,5,5,39800,Black,,Rozelle,NSW,7,11372.857142857143
933,MG,2022,MG3,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,1.5,Front,Premium,6.7,683,4,Hatchback,5,5,20480,White,Grey,Artarmon,NSW,1,683.0
934,Subaru,2018,Outback,2018 Subaru Outback 2.5I Premium,USED,Automatic,2.5,AWD,Unleaded,7.3,136562,4,SUV,4,5,27950,Silver,,Granville,NSW,5,27312.4
935,Skoda,2017,Superb,2017 Skoda Superb 162 TSI,USED,Automatic,2.0,Front,Premium,6.4,133096,4,Wagon,4,5,23990,Grey,Black,Bentleigh,VIC,6,22182.666666666668
936,Audi,2020,Q3,2020 Audi Q3 40 Tfsi Quattro S Line,USED,Automatic,2.0,AWD,Premium,8.3,22948,4,SUV,4,5,66880,Black,Black,Zetland,NSW,3,7649.333333333333
937,Subaru,2017,WRX,2017 Subaru WRX STI Spec R,USED,Manual,2.5,AWD,Premium,10.4,52472,4,Sedan,4,5,51999,Black,Black,Homebush,NSW,6,8745.333333333334
938,Hyundai,2016,Iload,2016 Hyundai Iload 3S Liftback,USED,Automatic,2.5,Rear,Diesel,8.8,211119,4,Commercial,4,3,18990,Yellow,Grey  Cloth,Bankstown,NSW,7,30159.85714285714
939,Holden,2011,Barina,2011 Holden Barina,USED,Automatic,1.6,Front,Unleaded,7.6,179868,4,Hatchback,5,5,5995,Grey,,Minchinbury,NSW,12,14989.0
940,Land,2016,Rover,2016 Land Rover Range Rover Sport 3.0 V6 SC HSE,USED,Automatic,3.0,AWD,Premium,11.3,117876,6,SUV,4,5,58800,White,,Rozelle,NSW,7,16839.428571428572
941,Mini,2012,Cooper,2012 Mini Cooper S,USED,Automatic,1.6,Front,Premium,6.7,103483,4,Hatchback,2,4,15999,Green,,Five Dock,NSW,11,9407.545454545454
942,Hyundai,2013,Veloster,2013 Hyundai Veloster +,USED,Automatic,1.6,Front,Unleaded,6.4,172961,4,Hatchback,3,4,15880,Yellow,Black Leather,Minchinbury,NSW,10,17296.1
